	Strain	Plasmid	BioSample	Organism
NZ_CP084503.1	MI01_K	pIncFIBK_IncFII	SAMN19717179	Klebsiella pneumoniae
NZ_CP084504.1	MI01_K	pIncFIIK_FIA	SAMN19717179	Klebsiella pneumoniae
NZ_CP090344.1	KPK3	pKPK3-1	SAMN24394412	Klebsiella pneumoniae
NZ_CP090345.1	KPK3	pKPK3-2	SAMN24394412	Klebsiella pneumoniae
NZ_CP090346.1	KPK3	pKPK3-3	SAMN24394412	Klebsiella pneumoniae
NZ_CP090835.1	K-28	plas1	SAMN24790942	Klebsiella pneumoniae
NZ_CP094513.1	SHX180	pSHX180-1	SAMN27028875	Klebsiella pneumoniae
NZ_CP094514.1	SHX180	pSHX180-NDM5	SAMN27028875	Klebsiella pneumoniae
NZ_CP097386.1	KPTCM	pKPTCM-1	SAMN28422337	Klebsiella pneumoniae
NZ_CP097387.1	KPTCM	pKPTCM-2	SAMN28422337	Klebsiella pneumoniae
NZ_CP097388.1	KPTCM	pKPTCM-3	SAMN28422337	Klebsiella pneumoniae
NZ_CP097389.1	KPTCM	pKPTCM-4	SAMN28422337	Klebsiella pneumoniae
NZ_CP097390.1	KPTCM	pKPTCM-5	SAMN28422337	Klebsiella pneumoniae
NZ_CP097391.1	KPTCM	pKPTCM-6	SAMN28422337	Klebsiella pneumoniae
NZ_CP097392.1	KPTCM	pKPTCM-7	SAMN28422337	Klebsiella pneumoniae
NZ_CP097393.1	KPTCM	pKPTCM-8	SAMN28422337	Klebsiella pneumoniae
NZ_CP097394.1	KPTCM	pKPTCM-9	SAMN28422337	Klebsiella pneumoniae
NZ_CP101727.1	150040X1B1	pCTXM65_150040X1B1	SAMN29894129	Klebsiella pneumoniae
NZ_CP101728.1	150040X1B1	pVir_150040X1B1	SAMN29894129	Klebsiella pneumoniae
NZ_CP101729.1	150040X1B1	p1_150040X1B1	SAMN29894129	Klebsiella pneumoniae
NZ_CP101730.1	150040X1B1	p2_150040X1B1	SAMN29894129	Klebsiella pneumoniae
NZ_CP101765.1	hvKP319	unnamed1	SAMN29889745	Klebsiella pneumoniae
NZ_CP101766.1	hvKP319	unnamed2	SAMN29889745	Klebsiella pneumoniae
NZ_CP101767.1	hvKP319	unnamed3	SAMN29889745	Klebsiella pneumoniae
NZ_CP101768.1	hvKP319	unnamed4	SAMN29889745	Klebsiella pneumoniae
NZ_CP101769.1	hvKP319	unnamed5	SAMN29889745	Klebsiella pneumoniae
NZ_CP101771.1	hvKP323	unnamed1	SAMN29889746	Klebsiella pneumoniae
NZ_CP101772.1	hvKP323	unnamed2	SAMN29889746	Klebsiella pneumoniae
NZ_CP101773.1	hvKP323	unnamed3	SAMN29889746	Klebsiella pneumoniae
NZ_CP101774.1	hvKP323	unnamed4	SAMN29889746	Klebsiella pneumoniae
NZ_CP101775.1	hvKP323	unnamed5	SAMN29889746	Klebsiella pneumoniae
NZ_CP101777.1	hvKP340	unnamed1	SAMN29889747	Klebsiella pneumoniae
NZ_CP101778.1	hvKP340	unnamed2	SAMN29889747	Klebsiella pneumoniae
NZ_CP101779.1	hvKP340	unnamed3	SAMN29889747	Klebsiella pneumoniae
NZ_CP101780.1	hvKP340	unnamed4	SAMN29889747	Klebsiella pneumoniae
NZ_CP101781.1	hvKP340	unnamed5	SAMN29889747	Klebsiella pneumoniae
NZ_CP101782.1	hvKP340	unnamed6	SAMN29889747	Klebsiella pneumoniae
NZ_CP101783.1	hvKP340	unnamed7	SAMN29889747	Klebsiella pneumoniae
NZ_CP101785.1	hvKP841	unnamed1	SAMN29889748	Klebsiella pneumoniae
NZ_CP101786.1	hvKP841	unnamed2	SAMN29889748	Klebsiella pneumoniae
NZ_CP101787.1	hvKP841	unnamed3	SAMN29889748	Klebsiella pneumoniae
NZ_CP101788.1	hvKP841	unnamed4	SAMN29889748	Klebsiella pneumoniae
NZ_CP101789.1	hvKP841	unnamed5	SAMN29889748	Klebsiella pneumoniae
NZ_CP101791.1	hvKP859	unnamed1	SAMN29889749	Klebsiella pneumoniae
NZ_CP101792.1	hvKP859	unnamed2	SAMN29889749	Klebsiella pneumoniae
NZ_CP101793.1	hvKP859	unnamed3	SAMN29889749	Klebsiella pneumoniae
NZ_CP101794.1	hvKP859	unnamed4	SAMN29889749	Klebsiella pneumoniae
NZ_CP101795.1	hvKP859	unnamed5	SAMN29889749	Klebsiella pneumoniae
NZ_CP101878.1	KPA1	p1	SAMN29785854	Klebsiella pneumoniae
NZ_CP101879.1	KPA1	p2	SAMN29785854	Klebsiella pneumoniae
NZ_CP101880.1	KPA1	p3	SAMN29785854	Klebsiella pneumoniae
NZ_CP101881.1	KPA1	p4	SAMN29785854	Klebsiella pneumoniae
NZ_CP101882.1	KPA1	p5	SAMN29785854	Klebsiella pneumoniae
NZ_CP101883.1	KPA1	p6	SAMN29785854	Klebsiella pneumoniae
NZ_CP102078.1	5589	p5589-CTX-M-55	SAMN29856549	Klebsiella pneumoniae
NZ_CP102079.1	5589	p5589-mcr-8	SAMN29856549	Klebsiella pneumoniae
NZ_CP102080.1	5589	p5589-OXA-181	SAMN29856549	Klebsiella pneumoniae
NZ_CP102187.1	S234	pS234-1	SAMN30074620	Klebsiella pneumoniae
NZ_CP102188.1	S234	pS234-2	SAMN30074620	Klebsiella pneumoniae
NZ_CP102189.1	S234	pS234-3	SAMN30074620	Klebsiella pneumoniae
NZ_CP102190.1	S234	pS234-4	SAMN30074620	Klebsiella pneumoniae
NZ_CP102191.1	S234	pS234-5	SAMN30074620	Klebsiella pneumoniae
NZ_CP102193.1	S270v	pS270V-1	SAMN30074657	Klebsiella pneumoniae
NZ_CP102194.1	S270v	pS270V-4	SAMN30074657	Klebsiella pneumoniae
NZ_CP102195.1	S270v	pS270V-3	SAMN30074657	Klebsiella pneumoniae
NZ_CP102196.1	S270v	pS270V-2	SAMN30074657	Klebsiella pneumoniae
NZ_CP102391.1	K64	pVir-1	SAMN30114398	Klebsiella pneumoniae
NZ_CP102392.1	K64	pKPC-ESBL-2	SAMN30114398	Klebsiella pneumoniae
NZ_CP102393.1	K64	pRM-3	SAMN30114398	Klebsiella pneumoniae
NZ_CP102394.1	K64	pTET-4	SAMN30114398	Klebsiella pneumoniae
NZ_CP102395.1	K64	pColRNAI-5	SAMN30114398	Klebsiella pneumoniae
NZ_CP102396.1	K64	p6	SAMN30114398	Klebsiella pneumoniae
